Account_ID,Customer_ID,Date_Opened,Account_Type,Opened_Legitimately,Branch_Location,Employee_ID,Number_of_Accounts_per_Customer,Time_Since_Last_Account_Opened,Employee_Tenure,Account_Opening_Method
587d2868-cdaf-40ee-bf19-005d9348b8cd,2bf4b417-027a-47fa-a5d5-62dccb5aa7dd,11/17/2023,Savings,No,Lake Julianmouth,1f6656ca-c8f9-4f19-963c-3addb9c42493,1,87,1,In-Person
10ebb0c5-d540-4d53-a830-03568cd2c01b,a70b07ee-a37a-429d-b782-cba5c1d86a8a,11/10/2022,Savings,Yes,West Daniel,fa754d2a-f0ea-4510-9e94-2244f5e0e30b,4,215,2,Online
dc272bbe-60bb-4617-8cc4-eb253aada881,3ab27fcf-a08a-42b3-a3b2-df4d6331c630,3/17/2023,Checking,No,South Sierraland,c2470a4c-5d37-4607-9ddf-33b2dd1550ed,3,350,6,Online
05237963-efdf-43be-a570-f10a6c3dee35,dc90d3b0-4b7a-4418-9036-b49c1b764e80,11/23/2020,Checking,No,Jimenezberg,250a3060-7a11-4cc7-8513-a0540e7f52cb,1,162,4,Online
6c19782f-9020-4d74-9c7d-5d81eb0777a7,927491ea-9910-4927-9009-d5e1d5a71010,5/15/2025,Credit,Yes,Hernandezberg,9f2eb5fe-e04b-493b-8fce-4c104a5d674f,2,331,10,In-Person
e29a13da-766a-495a-b887-8635a2ac867c,aec6f2cd-d0bf-488b-b036-5264d0cc6970,12/9/2023,Credit,No,Port Patriciaburgh,45986cdd-a483-459c-801e-f7e875a8d041,1,296,2,Phone
dda51895-e636-4c5a-ae87-e5af2cc7ec25,bc5d0646-00f8-46d8-8c34-b87931adc2f6,4/21/2023,Checking,Yes,Perezberg,f8cebf9d-a27c-420c-a67e-6653c6d1a282,4,35,2,In-Person
47fa9d78-7086-47a5-bac5-b8dc900545a3,5b236274-8dd7-4d09-95b9-2a44aa5edd9a,9/16/2024,Credit,No,Lake Toddville,0d862884-7e80-4bf0-a310-f820c4fca402,2,132,3,Phone
f9644c74-c549-4ca1-aecd-cf2373f0640a,72ee1295-babf-4023-95af-72859bf932f8,1/7/2025,Savings,No,Hannahview,3eebb816-4cf8-4dea-b445-e0721a9adb6a,4,265,0,Phone
5e6377e1-02bb-4b6b-95b7-4c948df5b8c3,93be51ae-0d67-4d04-afcd-1ef2ca6d293c,6/5/2020,Credit,No,North Tiffanytown,b8623000-8ef8-43ce-ab85-52f12d31dad5,2,99,1,Phone
36ef793c-4b21-40e9-bb7f-216e4468d750,77a51ae7-217f-40ba-8bed-86cf6f8f22fe,8/1/2022,Savings,Yes,Port Briannafurt,b28eeea1-ea3b-42cd-8140-9bdd9d70a55e,5,194,9,Online
110539fb-69e1-420b-9353-e2239cd13e2a,4b8ff22a-1e5f-4e5b-84b6-1e401b8ad7a4,12/1/2024,Savings,No,Bridgetville,553978ba-045f-4aa5-a5e0-3efc1ad1577e,1,193,3,Online
ba4a30e3-b1b3-498f-a436-5f5ab67eba61,0c4d1b0f-e863-4bfa-a85b-402b2d468480,7/20/2020,Savings,No,Millerstad,a44e8bc6-0019-4611-90fe-3be4ab6f246f,2,96,10,In-Person
6ddb1663-faf1-41cd-bf8b-4ecd3c9db066,f71aad6c-cdc4-49b2-8c8c-13efbb53d165,6/11/2022,Savings,No,North Julie,555be1d6-6594-48bc-86a0-04ba93ebb8cb,3,222,10,Phone
27e3b326-61c1-4c79-9087-9ead3b5ee68d,857fb27f-3c6e-41dd-8069-87883b5e51f1,2/13/2020,Checking,Yes,New Jennifermouth,82b618a0-b486-43f5-bba4-9583dd78e720,2,113,10,Phone
2cc504f8-d1fe-402c-9407-9570e6828f78,615637fb-abcb-4106-9126-c466714acdb4,4/8/2022,Checking,Yes,Port Jilliantown,cbfe7f40-3b47-4411-99bf-e1fce717ec8a,3,293,2,In-Person
6e53044a-37fb-4161-a2b5-75386f914558,81c049e5-38a8-4369-8652-6616871fa2bf,7/18/2023,Credit,Yes,Kimberlytown,4e67b9f6-75be-44bd-8914-29d07eacd3b4,5,158,9,Online
f2713e1c-9042-4332-a115-7e8e65e5ae82,59967d6e-8a48-43a1-847f-e396a998de51,9/8/2022,Savings,No,Garciaside,88b5733d-683a-4c1e-91ff-a6fe4a8deea6,5,170,2,In-Person
64dfbbc5-7510-4c7c-8dd8-f529d1a9b1be,a42b3f97-fcfa-412b-9d49-795f484d9258,6/18/2020,Credit,No,Lake Nathanieltown,040a1b6f-2555-4db0-aacd-6e042eaf6963,3,121,6,Phone
2d0b901f-d255-4317-8439-fde7b521ada6,aea2c988-5c14-407b-b2ac-990f091950ef,1/2/2021,Credit,Yes,East James,916cd730-da78-40e2-a208-83a196adc01f,3,331,4,Phone
88b3ee20-eb7d-4115-b4fd-04f7f4f68335,5248d150-cc6a-4882-89d2-f94eddd69dc6,10/31/2020,Credit,Yes,Jamestown,3121fd53-4a59-43d9-8e74-7f82f658783b,5,44,8,Online
f47c4ce3-a063-44e9-a947-c2152d2c4f43,ee696094-c002-483e-86d0-51378874e429,4/18/2023,Savings,Yes,Gregoryshire,76d7554a-2678-486c-9eb4-dcf4249293eb,5,265,4,Online
8d7bf8f2-fe27-4d6e-baca-8965a3cded0a,2e1e4d62-0ae4-43ef-8c3e-72e1c77df85e,11/5/2023,Checking,No,Cunninghamborough,7da114f6-71f5-4ee1-a836-8c3ea9e39de2,2,273,4,Phone
9abfe436-01f6-4bf2-b60e-81f05a2c1a8b,b7919650-8341-4c34-8150-14473abdccac,11/22/2020,Credit,No,Douglasland,6671ed92-bd01-4f27-8e57-b150da0a7df5,3,103,9,Online
c76c6670-fdef-48e1-97fe-226642d54adf,ce75cfa6-f919-424d-a228-c019ede8857e,7/23/2020,Credit,No,New Penny,00785f1e-878e-41fe-8023-b05781f3ccdd,1,47,2,Online
efb5f3ce-616d-4d79-b4a8-fe1fa19b902c,afdd0e6a-2b9f-44f8-9403-9a6f7d7f471d,10/31/2021,Savings,Yes,South Jasonhaven,e0bb0808-661b-40fc-b471-9eee8e14c898,3,136,7,Phone
470fee42-d0af-4601-9143-689b395c4a49,eb9fb0ea-6d02-434b-9421-890e1f49f219,6/21/2023,Savings,No,Maryfurt,5997a70d-3605-41f6-9454-3df323fff508,3,95,6,In-Person
37a15987-e46f-4721-b1ad-3687af749a53,ff89b0f5-b6dd-46d1-a5d3-436dcbff11a6,1/15/2021,Savings,Yes,East Valerie,3489a0a0-4dcc-4a7e-90e8-6860fc595915,2,4,4,In-Person
382e2064-9d51-4ba4-aa2b-1b0e22d06390,35893e7f-f287-4a1d-814d-f70545c9b015,7/14/2020,Savings,No,Chenfurt,1c5e6078-8819-481d-9727-becc0a1abd66,4,333,10,In-Person
6acbc6a0-af41-4d9e-95b5-a31a9389be98,e5f4b7a6-318d-4690-9009-67dc56c1f3a6,1/12/2021,Checking,Yes,Lemouth,3ca54405-a9dd-48b9-b511-64dd4db900f1,3,200,3,Online
e27f4a85-ed36-448a-b045-c1c0ba17212d,4413ce9e-a93f-4fc9-a890-105022940e3a,8/4/2021,Checking,Yes,North Scottton,3c93dcf9-b64c-4c25-97bc-0ab6f105d15e,4,30,9,Online
4780f754-4f3a-41e6-bbcc-f61db1268e6a,cbcbfb9d-2b1e-4d6e-a9dd-2450aacc83d4,6/22/2022,Savings,Yes,Monroefurt,e61fb4fb-79ef-4b7e-90e6-f7dd290a335c,3,92,1,Phone
10223116-4e1c-41e8-a6d6-b986660187b2,b11dc72c-5069-4461-9181-1ff4b39b124e,3/29/2022,Checking,Yes,Lake Johnnyport,a00652e3-1801-40a7-b313-6a0996938f0a,1,176,6,Phone
eb609e3f-022a-461d-b5e0-beb3aab756bc,95970dc8-a78e-4ed9-9575-571cb0254ecb,7/25/2021,Savings,No,Lake Gregoryfurt,d814e1aa-256f-45a7-929e-84d0c63408bf,3,251,1,Online
d75f6502-bc04-4632-aa08-270583f88fa2,d21c8541-2e60-4aa0-8d61-b2aa25856bd6,4/4/2020,Credit,Yes,North Steve,e36438a0-f4ba-4da9-b7af-ff692665520f,3,100,10,In-Person
5e3a227e-ed24-4685-9294-95105c6881f6,f7034167-3766-43da-9d0a-c12fb9c6d981,12/10/2023,Credit,Yes,New Melissa,bf28a9a0-c44a-4317-a132-e0f714cf0606,3,137,9,Online
2646cf72-29af-40b5-ac87-4b4c88acefd6,71d0f94c-3db3-46fb-b0a0-7d2233b0533c,5/3/2020,Savings,No,East Rodney,67e3d5d4-3ca0-47b3-b691-1763e7782932,1,338,4,Phone
87770a2c-e2ee-4482-9c99-5e8f06f8cce6,50a863b4-5bcf-46e7-8b60-7c595b246d2f,8/9/2023,Savings,Yes,Steveville,411dbab0-ea61-4b0c-99c2-719585fd004c,5,199,8,In-Person
749b138d-b53d-440d-b3df-d7010007f592,d190bfec-e81a-4edf-b54d-4271bd9e16d5,12/15/2021,Checking,No,Reyesshire,96fc532a-3293-4d0d-ab63-11879b8b1d92,5,113,3,In-Person
aaf4bdb8-144b-4ce0-a436-909ec96863c5,272aea23-7784-4843-ad5d-27e4bb4e33c0,5/2/2022,Credit,Yes,East Chrisberg,377d22a4-fdfc-4329-a740-91e5e4a6a1fe,2,227,5,In-Person
036ca676-5842-451e-9869-f2e14078c0ca,0c591474-eff4-4080-bb57-0c88d6ae5029,9/1/2023,Savings,No,Lake Roger,d11edc4e-6a4d-4cf7-8bbe-842f716def43,1,48,7,Phone
223a8e46-6cda-41a2-b85b-730d44caecbb,05cfba51-4b29-4441-87f0-c13472677a00,3/9/2025,Checking,No,Fernandezland,6b3a4ac3-a755-446e-8ac7-d76287252f42,1,256,5,In-Person
3167cd2b-6f0e-4ce4-995f-06bb4720843b,a22a75d5-3a0a-45da-a2bd-c5e5ba17f14b,10/23/2020,Checking,Yes,South Jeanette,16edf7fa-14da-4614-a738-bd3871e264f3,2,301,8,Phone
5c9da292-bf6c-4fbb-97fb-891253f9e968,af31c9e9-fa6c-41da-b0bf-e7bf9f3f3602,7/2/2024,Credit,No,West Mollyfurt,dcb8010d-e620-4c54-b569-0656548359cf,1,320,7,Phone
2946e2cc-ba09-43ad-a2f6-f7405d5e0f7c,e5af2893-9c21-412e-a831-67e816c10199,4/15/2023,Checking,No,Romerofort,1c2856ab-d3cf-470e-be00-0cb509194ebe,2,256,9,Online
122ff481-3db7-40fa-ae4b-80f1878f3be7,270a882a-88fe-4da5-b768-f9e816de9a31,1/20/2024,Savings,Yes,West Amanda,ed0d7212-4d26-48ec-a635-ebb727beda51,4,258,6,Phone
b6035327-ac67-4f99-9b21-86d0481c9398,52792d26-e8f2-44bc-8bb4-0509dac691c5,8/6/2024,Checking,Yes,South Kelly,9df238c4-8e5c-4d28-9fb4-41fb408e21d8,5,119,8,Online
45be88e3-8888-42bd-8d6b-cb3bc95564e2,dd3d1f3c-1c08-4e66-ab53-b704249dce4a,4/24/2020,Credit,Yes,Port Jonathanville,1bc2d49d-1a15-421b-b925-ab6f157ec51a,3,282,2,Online
48e4c9b5-7c51-47f3-b733-dfa57d67f17b,d47d5b69-95c1-48de-8b69-e834f07b9c22,7/29/2021,Savings,No,Foleybury,f81ee493-1822-44c4-a262-f8864fa934de,1,211,1,Phone
dba451f4-1118-4ffb-a169-26dfcc56adae,984a73ae-626e-4186-b791-548afa37b7fc,8/27/2020,Savings,No,Lucaston,4748bdf5-9f1f-4dfd-ade7-95ae80a16439,4,33,8,Online
18c18c62-4db4-4992-b181-cd1a9bf68062,2a026f64-d83f-4ae5-ab30-c31de21f1f51,4/26/2021,Savings,No,South Donaldstad,9090d5c8-671c-421a-811c-143e70d6aa8f,3,267,0,Online
27da2620-eb0e-4770-a77b-c9433b9c7b70,4ca90299-0d80-4310-838d-6427fa8751b7,4/24/2020,Checking,No,East Joshuafort,3ce92856-cebb-4848-b348-1965c90e1b90,3,189,10,In-Person
61e0163a-1112-459a-9a5b-1225d72a7094,caf60ea6-40e3-4fed-951f-321ade99658d,1/10/2022,Credit,Yes,Eugenebury,27964ac1-77e7-482c-b786-f88d34e6afc7,3,55,1,Online
a50f2076-692e-4e83-8f99-ae87269255cb,0962e0a0-915e-4942-a8bd-61ae007351b1,8/25/2022,Checking,No,Sandersland,a91f1e58-2742-4acc-829e-880bf059999c,1,226,1,Online
ce07fee1-0f56-4f2a-bc36-f66f313a9172,1db45361-f41b-480f-99e9-8cc3b21198ee,4/24/2020,Checking,No,Smithfort,f2e4fcb4-cd92-4cb3-8b37-e67344d981b6,5,221,5,Online
9173f143-810a-41c5-9d51-e6f11e36fa18,2b475cb8-0aee-49f9-8f38-7dadfea0e5c1,7/5/2022,Checking,Yes,Reyesfurt,bd47f2b4-320a-4f13-ade8-e4a5117891d4,1,75,3,Online
4b8c03b0-b335-476a-9113-49840b7ca6c3,a6b0ae76-b1e7-43b8-8e6c-3948c1de03ba,9/26/2023,Checking,Yes,Mullentown,d8630e72-0acd-4b8c-8c46-cd787fca3a1a,2,159,7,In-Person
ac98a98f-43c6-4ff3-9729-4e855fb2d0b3,5400d888-c774-4029-9244-f48f49c42054,10/13/2020,Credit,Yes,Codymouth,83fe1749-9d40-4ae3-86c3-1218fe2579e6,1,318,6,Online
e062752d-6843-4e25-b126-ca29a180b524,61447133-5f92-4a63-981d-ff82a33b10cd,6/26/2022,Checking,Yes,Kennedyview,3d782184-165f-4e53-b6cd-50551c41d561,4,116,3,Online
b49b8b2a-5a4a-4ae7-92a7-472bbd610b3b,72e7d7bb-5c03-48e5-80f7-7772f53a9593,1/19/2022,Credit,Yes,Gomezshire,1cbb81bb-1d09-4c55-ab93-84da081ac50b,2,150,9,Online
1f08921c-f31d-4012-9a6a-290e6c0a1f26,9f4c4f5d-70f7-4c83-9816-008e2547b711,8/13/2024,Credit,No,Lake Amy,d2853119-8e6f-48b7-be25-4b78e6a3f4d4,5,337,0,Phone
6f87827b-1bb2-438a-8b47-db45995dc477,8496de34-8bc3-4a72-8ee4-364dbcdbaf92,6/9/2024,Credit,Yes,Wendyhaven,3e3b9208-b0dd-4061-ae2c-a8a38c0bb773,1,318,6,Online
975a74e1-ae36-45f6-b8a7-96784538acd9,4c346788-b791-4cbf-a776-a0391cb65843,2/17/2025,Savings,No,Donnaland,2eb827b8-32a4-45dd-82ab-77f8abe5e91e,1,202,8,In-Person
223bf713-4b54-41a7-9c5c-c0a1a91a882b,71331639-ab3d-4b86-9834-a0f6fd6a83d6,9/18/2024,Checking,No,Dominguezborough,2ccf41c5-a4dd-4bef-b5f0-26cc984415d4,5,166,8,In-Person
4308a09c-b619-49a0-9974-12377fe0ca4e,3df47384-c200-4b60-a8de-edebb798e8eb,2/3/2024,Savings,Yes,North Steven,c315adda-a6d8-4478-8a9c-579b5ae6c2fc,3,362,7,Online
63e5e04a-4a86-486a-94d6-1cd86510684b,6d4f3ae9-c37d-4eef-8209-7a4ebbe5d784,3/15/2021,Credit,No,Nicholsberg,b1653f89-7a05-4977-95c7-c7a0a4f4b852,5,309,1,In-Person
d54612a2-431a-4673-8eda-4113d5910d33,bf59f917-0ca5-4e91-8200-619ed2005de9,5/2/2025,Checking,No,West Benjaminville,c3f360d0-d5b7-4a0a-8817-bdafc511f518,5,247,6,Online
d40afc78-32d5-467c-b8a6-b9a241538dbd,704ccd65-d55d-41aa-9203-ba9690e50b98,2/19/2020,Checking,Yes,East Eric,40679b03-532a-4256-bbf6-e5f30b2413cc,4,326,1,Phone
2a0b6be5-c77b-423b-b73c-98142473345b,78c474ec-5ae9-4834-a07f-4caa1647ce53,4/12/2020,Credit,No,West Renee,b1e32fbe-a14f-4209-9aea-c8fb0f9e86ab,4,350,8,In-Person
91da9833-9e85-4697-b3d3-881c5b2e3412,c8c8d6d2-0064-494b-9d12-0d5716231160,1/3/2024,Credit,Yes,Cobbland,9dea77b9-61bc-4c66-91ce-766a841c0796,3,346,7,Online
ec14e475-cffe-42fb-b35a-9ca9a584cebf,f9636c51-5c29-4698-a80e-407aee03da79,11/15/2020,Credit,No,New Mark,f2fe8173-cf73-48b0-9571-8a40cd5a8853,5,360,9,Phone
d6bd3c28-4904-4821-9172-25331894976b,5071f36d-1c4d-4ce6-94fd-bd53e2b4b027,3/9/2025,Credit,No,Garciashire,4a8ce143-2667-4d3f-8bd0-8e0f7a6733ec,3,189,2,Online
2aacfa55-953e-4697-bbe0-c5b1a7969dd0,661a5fec-03e1-43f3-a04a-52e4c243e6cf,5/27/2022,Savings,Yes,Fieldsburgh,3f953477-b3c0-4501-b653-434587cffcce,5,139,6,In-Person
21ebcf62-80a9-42a2-b801-cc99e3f702e8,4cc54739-bdc9-499f-96ff-e6076d6c83ab,8/25/2022,Checking,No,West Sharonmouth,b407ad0a-c3ed-4aca-a35f-4f38232a7b80,2,207,4,Online
3b374a38-c77f-456b-8562-04c59c8ad5e9,05a5bd14-558a-4475-b317-807332546a92,6/10/2020,Savings,No,Lake Brookemouth,ae21c27d-984c-45b4-a286-38869555df68,3,311,2,In-Person
e9dbbb94-76b1-4d00-9b8b-dad2a909475f,d3dfc3d4-a1b2-4ee5-9b3f-76e6a4f695c3,3/15/2024,Credit,Yes,Andrewshire,5f46ff2e-035b-4f46-8690-39f7287cf979,3,139,1,Phone
f8ba7179-5ee8-43d8-887c-6d7289174c45,636d42bd-378f-4c07-979a-51aa45925525,1/13/2024,Savings,No,Port Kellyhaven,7adf4860-573a-4820-b51c-5c83c0aca409,1,363,0,In-Person
2555be4f-7368-4493-9f09-4317c0e23d4e,95254478-f558-432b-8330-7f2261def56d,3/22/2024,Credit,No,East Jeffrey,9b6c98a1-1d21-4cce-9cb0-73e4da33456c,2,218,5,Phone
bb14869e-f6cd-423e-b14a-6c420296e8de,dbc4b66d-ce7e-491a-9721-c1540a5cec73,6/20/2022,Checking,Yes,Port Danielle,8bd2eda5-5cab-4d6e-92a4-00007a8bccf3,5,329,3,Phone
8072b534-eb30-437c-9ede-cef42bd93825,6aa04f46-ceed-48b3-9ec3-c44dc79d4515,2/14/2022,Savings,No,Mcbridemouth,bbac56e0-0394-4d23-bf38-49e8b11489ef,2,109,0,Phone
4b6691f6-32e6-4391-aaf7-2aef221b89d1,cd0cbac8-96e7-4d0e-9537-498cc2a32833,3/15/2020,Savings,No,Ramirezmouth,6166f7c7-849c-4c3b-98b3-aa052da9bea6,4,137,8,Phone
9dadd275-0ade-4b7e-a127-f3046cb73bc2,50defab9-bbd6-4bda-b90e-fa8d5df5bac0,4/13/2023,Checking,No,East Monica,b3cbc702-9368-4607-b860-a34d0660a693,5,54,7,In-Person
33a5f90f-83a2-4118-b1bc-201256f2e81b,d4bab775-7ede-468e-a184-4cedaa525282,11/23/2022,Savings,Yes,Campbellmouth,f92ec90e-b74d-4a51-911b-40740ee2b27d,3,353,10,Online
317427cb-4f9a-4bb9-987d-4f92998eee86,2b5c9c06-73c3-44c9-808e-b4e9c32a2ff1,11/27/2022,Checking,No,Ashleyland,031586e2-75d9-4a05-9a25-b4f85b0acf2f,3,279,4,Online
e6e82dee-51cd-4b6d-9a2d-3ca68fe81286,0d563e9e-7b1b-4576-bb81-da0066456970,5/15/2022,Savings,No,East Jacob,5613b8b2-ce92-4156-a5a5-5b01d27af557,1,291,8,In-Person
86fc1638-3369-4285-8567-168d26d9f966,1ca433db-7c23-4403-8d5b-378ed346b8cc,4/26/2022,Credit,Yes,Gonzalesmouth,edbc3852-d931-4aed-b218-004a229808a9,1,360,8,Phone
0e3e4ce6-5d60-4579-b5d4-70cee949e34c,2c63ae39-8f74-4823-906c-fdc289682381,2/2/2020,Savings,No,Davisview,b85316da-a458-4cbc-95d0-363dad535324,3,41,10,Phone
02aab778-d828-4686-90f0-c4efee520369,fbee1bc5-d08f-4bfe-81ea-28e9e3ba341e,7/13/2020,Savings,Yes,Austinbury,eb68c4ba-c445-47c2-a2d6-1eedde2da6f5,4,100,3,Online
40ac90eb-ac64-47c8-a2c1-2f49fd274b85,9e9bd83c-efb9-459b-bb95-e33aa9e41277,7/15/2021,Savings,No,New Jennifer,4046afb5-d85a-42e5-a058-7fc89b55166a,5,146,9,In-Person
2ed38133-8492-4ff8-9eff-8321333d59ea,a8943fce-2ba5-443d-b05b-28f3a635edfd,3/14/2024,Credit,Yes,North Micheal,3cfe0ebf-f050-4d98-bdf5-7adf6236ba17,3,124,2,Phone
f1d2b19c-8e27-4191-805d-4415e7ba55de,2ecd4f64-b4e3-442c-a39c-8683f893a29f,3/21/2020,Savings,No,Port Maryburgh,eeb80362-c859-4079-b9c3-9b1118adbd2e,5,47,9,In-Person
43d69436-e7ac-4d55-8653-eacf9ca769a8,cf4b0ec8-ad76-4f97-907c-1bbcd6bb428e,1/4/2022,Credit,No,North Kayla,0628b6cf-7cf9-44f9-9287-5be974172dff,3,100,7,Online
a3c53457-447b-4077-a304-2c93f97cb727,1e83423c-3e28-4682-b3ba-8fcd7313a0e6,12/7/2024,Checking,No,New Shannon,af578b68-d66a-43c6-8201-1e7cb2d6e917,3,241,0,Phone
de5ee782-dfe4-438c-9970-2e50f3108890,bb6ba3ae-ab47-4989-bfbd-d432dd988031,5/3/2023,Credit,No,Robertborough,fac9e984-c7dc-4e82-978b-7e0a8259f86a,3,341,4,Phone
08b54e2d-e19a-4dd0-9c86-2a04634735d7,01e288ee-b860-4cc2-bf16-296fd5b7bcf1,6/27/2021,Savings,Yes,New Ashleyview,26327c99-0e74-4032-8f5a-2ef8d4c95d92,4,283,0,Phone
0bd1c986-e387-469e-bf88-db06f25cdb21,ad038e05-1441-44f2-9107-850886c66faa,5/22/2020,Credit,No,Katherinemouth,c1aae3f7-4502-4224-add4-d8332b1d3201,1,249,8,Phone
8dea975b-6a13-42de-bdfd-43b8fb5d1d58,d816c0f0-1846-4446-82b4-a8e7bea7da88,6/7/2023,Credit,No,Wolfeside,fe1fb9a8-ea64-4688-9d06-b73993f1761f,1,118,9,Phone
0ea750bc-1aef-40af-9aca-98b478358cb0,b51a7ce1-340b-4653-adfa-e8ada5445245,3/25/2022,Savings,Yes,Murrayville,6bbd4781-1b98-4f18-a9fa-26663eba9b20,4,230,5,In-Person
861f5f78-7e01-4012-beb8-b8fac2cddaee,ac6e420e-1257-4d9f-936c-66a6ad0615ea,3/23/2025,Savings,No,Terryview,9667c317-2142-4d95-9b8d-c9d6170913ad,5,50,8,Online
0c137415-4776-470f-af71-eeb9df5d43e6,1c8a74e6-b889-4778-b48d-3df77e1d815f,3/21/2020,Savings,No,Christopherbury,8c27b943-e9c6-442b-9d8d-769989433cf2,4,178,0,Online
87e63999-f9aa-46f3-a3fb-d9b2c50efd94,54655fa7-9786-42a4-b554-9d55ec58c382,6/16/2021,Credit,No,Port Richard,3155d028-5433-4b97-9587-13e8805135fe,2,336,9,In-Person
85c019cc-b971-4965-be09-bdf4a8e0fe31,ba9dfca2-650b-4b0f-9307-e271450b5bb4,10/5/2023,Checking,No,Porterside,3eba1c60-4a48-4fa5-8a3d-9cad0a9364f3,1,247,6,Phone
d403f83b-7c20-49ee-b030-1be4645536e0,036fada4-d568-43f7-956a-8784686376a0,4/19/2025,Credit,No,Brucefort,d698277a-a2de-4ace-bb77-4e50c1785a4f,1,104,1,Online
d0bc18ef-01ae-421e-a27d-d1f413c3d3ce,b9e4ffaf-6b1c-4d81-99b9-9fca964ac06c,3/25/2022,Savings,Yes,New Diana,79f775f3-f4ed-41a9-812c-5503b49bdd27,5,54,7,Online
0617cd5f-25be-428b-8c8c-87840c321615,b2aa204b-7b8c-46b8-a068-c0e0414289d3,8/26/2024,Savings,No,Melvintown,ab14fa65-7bab-4482-b7dc-bf46f611429f,2,299,9,Online
4c8dead1-d848-40b3-a555-38fd4b848749,3824d5c7-0f4e-46aa-b761-c7f53469fb33,5/17/2020,Checking,Yes,East Ericaside,95578d7e-fac9-4450-9d91-fcdfea02848b,1,109,5,Online
1724954b-7f09-4403-b395-061e2d7a1661,e28655e2-1606-448c-b3b5-24ce3cb77cb8,2/5/2025,Checking,No,North William,bd8a086b-cdb0-43dd-a88c-8d35b2ce1d46,1,238,7,Online
bc0e505c-31a7-469f-95c9-496623ed320c,ea8a0c50-3c78-4f7e-904f-64bc042778b2,5/10/2022,Savings,Yes,Hebertport,bce7d624-cdda-4d0b-8e9d-9b8d6344323e,2,15,9,In-Person
8d2edb2c-26b5-480c-86b0-6d34285e51bf,ce139109-5bf7-4b81-86d9-5aa45863d082,10/23/2020,Savings,No,Port Johnchester,40215ca1-2ad0-401a-bc2b-310a1be434ff,2,150,3,In-Person
c7807a7e-3b81-4441-88c9-37cc07eba4e4,effd10db-ecc1-4edd-bc11-dc30b4687f0b,4/5/2025,Credit,Yes,Sarahville,2a62e285-0fa6-4441-9b61-29284520f50e,5,65,1,Phone
46e2a9f5-ac78-4a6f-a3a0-f940164ef4e0,80edf50e-4318-41fc-9198-c67ccb4309e2,2/25/2020,Savings,Yes,Hartmantown,af6a21d5-cdbf-4575-8d20-19d34bf0ad11,5,296,8,Online
